starttime	seconds	ctime	dtime	ttime	wait
Tue Mar 04 20:14:26 2014	1393989266	1	109	110	0
Tue Mar 04 20:14:26 2014	1393989266	1	375	375	0
Tue Mar 04 20:14:26 2014	1393989266	1	591	591	0
Tue Mar 04 20:14:26 2014	1393989266	1	1220	1221	0
Tue Mar 04 20:14:26 2014	1393989266	1	1285	1286	0
Tue Mar 04 20:14:26 2014	1393989266	1	1290	1291	0
Tue Mar 04 20:14:26 2014	1393989266	1	1299	1299	0
Tue Mar 04 20:14:26 2014	1393989266	1	1304	1305	0
Tue Mar 04 20:14:26 2014	1393989266	1	1309	1310	0
Tue Mar 04 20:14:26 2014	1393989266	1	1321	1322	0
Tue Mar 04 20:14:26 2014	1393989266	1	1326	1327	0
Tue Mar 04 20:14:26 2014	1393989266	0	1336	1336	0
Tue Mar 04 20:14:26 2014	1393989266	0	1342	1343	0
Tue Mar 04 20:14:26 2014	1393989266	1	1350	1351	0
Tue Mar 04 20:14:26 2014	1393989266	0	1354	1354	0
Tue Mar 04 20:14:26 2014	1393989266	1	1361	1362	0
Tue Mar 04 20:14:26 2014	1393989266	0	1366	1367	0
Tue Mar 04 20:14:26 2014	1393989266	0	1371	1372	0
Tue Mar 04 20:14:26 2014	1393989266	0	1376	1376	0
Tue Mar 04 20:14:26 2014	1393989266	0	1380	1380	0
Tue Mar 04 20:14:26 2014	1393989266	0	1385	1386	0
Tue Mar 04 20:14:26 2014	1393989266	0	1393	1393	0
Tue Mar 04 20:14:26 2014	1393989266	0	1398	1399	0
Tue Mar 04 20:14:26 2014	1393989266	0	1407	1407	0
Tue Mar 04 20:14:26 2014	1393989266	0	1414	1415	0
Tue Mar 04 20:14:26 2014	1393989266	0	1426	1427	0
Tue Mar 04 20:14:26 2014	1393989266	0	1436	1436	0
Tue Mar 04 20:14:26 2014	1393989266	0	1441	1441	0
Tue Mar 04 20:14:26 2014	1393989266	1	1445	1446	0
Tue Mar 04 20:14:26 2014	1393989266	0	1461	1461	0
Tue Mar 04 20:14:26 2014	1393989266	1	1466	1466	0
Tue Mar 04 20:14:26 2014	1393989266	0	1474	1474	0
Tue Mar 04 20:14:26 2014	1393989266	1	1482	1482	0
Tue Mar 04 20:14:26 2014	1393989266	1	1485	1486	0
Tue Mar 04 20:14:26 2014	1393989266	1	1491	1492	0
Tue Mar 04 20:14:26 2014	1393989266	1	1500	1501	0
Tue Mar 04 20:14:26 2014	1393989266	1	1507	1507	0
Tue Mar 04 20:14:26 2014	1393989266	1	1516	1517	0
Tue Mar 04 20:14:26 2014	1393989266	0	1526	1526	0
Tue Mar 04 20:14:26 2014	1393989266	1	1536	1537	0
Tue Mar 04 20:14:26 2014	1393989266	1	1547	1548	0
Tue Mar 04 20:14:26 2014	1393989266	1	1556	1556	0
Tue Mar 04 20:14:26 2014	1393989266	1	1562	1563	0
Tue Mar 04 20:14:26 2014	1393989266	1	1568	1569	0
Tue Mar 04 20:14:26 2014	1393989266	1	1574	1575	0
Tue Mar 04 20:14:26 2014	1393989266	1	1578	1579	0
Tue Mar 04 20:14:26 2014	1393989266	1	1586	1587	0
Tue Mar 04 20:14:26 2014	1393989266	1	1592	1593	0
Tue Mar 04 20:14:26 2014	1393989266	2	1593	1594	0
Tue Mar 04 20:14:26 2014	1393989266	1	1602	1603	0
Tue Mar 04 20:14:26 2014	1393989266	2	1602	1604	0
Tue Mar 04 20:14:26 2014	1393989266	1	1607	1608	0
Tue Mar 04 20:14:26 2014	1393989266	1	1617	1618	0
Tue Mar 04 20:14:26 2014	1393989266	1	1621	1623	0
Tue Mar 04 20:14:26 2014	1393989266	1	1625	1626	0
Tue Mar 04 20:14:26 2014	1393989266	1	1633	1633	0
Tue Mar 04 20:14:26 2014	1393989266	1	1638	1639	0
Tue Mar 04 20:14:26 2014	1393989266	1	1643	1644	0
Tue Mar 04 20:14:26 2014	1393989266	0	1648	1648	0
Tue Mar 04 20:14:26 2014	1393989266	0	1653	1653	0
Tue Mar 04 20:14:26 2014	1393989266	0	1657	1658	0
Tue Mar 04 20:14:26 2014	1393989266	4	1655	1659	0
Tue Mar 04 20:14:26 2014	1393989266	4	1662	1666	0
Tue Mar 04 20:14:26 2014	1393989266	0	1674	1675	0
Tue Mar 04 20:14:26 2014	1393989266	0	1679	1680	0
Tue Mar 04 20:14:26 2014	1393989266	1	1681	1682	0
Tue Mar 04 20:14:26 2014	1393989266	1	1685	1686	0
Tue Mar 04 20:14:26 2014	1393989266	4	1685	1689	0
Tue Mar 04 20:14:26 2014	1393989266	3	1692	1695	0
Tue Mar 04 20:14:26 2014	1393989266	5	1695	1700	0
Tue Mar 04 20:14:26 2014	1393989266	1	1705	1707	0
Tue Mar 04 20:14:26 2014	1393989266	6	1704	1710	0
Tue Mar 04 20:14:26 2014	1393989266	2	1716	1718	0
Tue Mar 04 20:14:26 2014	1393989266	5	1717	1722	0
Tue Mar 04 20:14:26 2014	1393989266	5	1720	1725	0
Tue Mar 04 20:14:26 2014	1393989266	4	1726	1729	0
Tue Mar 04 20:14:26 2014	1393989266	2	1733	1735	0
Tue Mar 04 20:14:26 2014	1393989266	4	1734	1738	0
Tue Mar 04 20:14:26 2014	1393989266	6	1736	1741	0
